A_CLAU_UNICA_VF,A_ID_VF,A_EMPRESA_VF,A_NUM_FACTURA_VF,A_FECHA_FACTURA_VF,A_ORIGEN_VF,A_IMPORTE_VF,A_ACUMULADO_VF,A_CLIENT_VF,A_PAGADA_VF,A_ENVIADA_VF
5796-C-V/00001,1,ADG32 5796 NSACARES SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3546,51","3546,51",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00002,2,ADG32 5796 NSACARES SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3230,70","6777,21",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00003,3,ADG32 5796 NSACARES SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3924,03","10701,24",BIGCORP SL,Pagada,No enviado
5796-C-V/00004,4,ADG32 5796 NSACARES SL,FV-1/2025/00004,23/10/2025,C-V/00004,"4533,87","15235,11",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00005,5,ADG32 5796 NSACARES SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3644,52","18879,63",BIGCORP SL,Pagada,No enviado
5796-C-V/00006,6,ADG32 5796 NSACARES SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3368,64","22248,27",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00007,7,ADG32 5796 NSACARES SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4435,86","26684,13",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00008,8,ADG32 5796 NSACARES SL,FV-1/2025/00008,05/11/2025,C-V/00008,"3198,03","29882,16",BIGCORP SL,Pagada,No enviado
5796-C-V/00009,9,ADG32 5796 NSACARES SL,FV-1/2025/00009,05/11/2025,C-V/00009,"4236,21","34118,37",BIGCORP SL,Pagada,No enviado
5796-C-V/00010,10,ADG32 5796 NSACARES SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4552,02","38670,39",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00011,11,ADG32 5796 NSACARES SL,FV-1/2025/00011,12/11/2025,C-V/00011,"4308,81","42979,20",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00012,12,ADG32 5796 NSACARES SL,FV-1/2025/00012,12/11/2025,C-V/00012,"4686,33","47665,53",BIGCORP SL,Pagada,No enviado
5796-C-V/00013,13,ADG32 5796 NSACARES SL,FV-1/2025/00013,12/11/2025,C-V/00013,"3786,09","51451,62",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00014,14,ADG32 5796 NSACARES SL,FV-1/2025/00014,19/11/2025,C-V/00014,"3669,93","55121,55",BIGCORP SL,Pagada,No enviado
5796-C-V/00015,15,ADG32 5796 NSACARES SL,FV-1/2025/00015,19/11/2025,C-V/00015,"3571,92","58693,47",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00016,16,ADG32 5796 NSACARES SL,FV-1/2025/00016,19/11/2025,C-V/00016,"3397,68","62091,15",COMERCIAL CALCO SA,Pagada,No enviado
5796-C-V/00017,17,ADG32 5796 NSACARES SL,FV-1/2025/00017,26/11/2025,C-V/00017,"3884,10","65975,25",COMERCIAL CALCO SA,Publicado,No enviado
5796-C-V/00018,18,ADG32 5796 NSACARES SL,FV-1/2025/00018,26/11/2025,C-V/00018,"3346,86","69322,11",COMERCIAL CALCO SA,Publicado,No enviado
5796-C-V/00019,19,ADG32 5796 NSACARES SL,FV-1/2025/00019,26/11/2025,C-V/00019,"4232,58","73554,69",COMERCIAL CALCO SA,Publicado,No enviado
"5796-C-V/00021, C-V/00020, C-V/00022",20,ADG32 5796 NSACARES SL,FV-1/2025/00020,04/12/2025,"C-V/00021, C-V/00020, C-V/00022","11645,04","85199,73",COMERCIAL CALCO SA,Publicado,No enviado
"5796-C-V/00023, C-V/00025",21,ADG32 5796 NSACARES SL,FV-1/2025/00022,11/12/2025,"C-V/00023, C-V/00025","8399,82","93599,55",BIGCORP SL,Publicado,No enviado
5796-C-V/00024,22,ADG32 5796 NSACARES SL,FV-1/2025/00021,11/12/2025,C-V/00024,"3891,36","97490,91",COMERCIAL CALCO SA,Publicado,No enviado
5796-C-V/00028,23,ADG32 5796 NSACARES SL,FV-1/2025/00024,18/12/2025,C-V/00028,"3855,06","101345,97",COMERCIAL CALCO SA,Publicado,No enviado
"5796-C-V/00029, C-V/00027",24,ADG32 5796 NSACARES SL,FV-1/2025/00023,18/12/2025,"C-V/00029, C-V/00027","8497,83","109843,80",BIGCORP SL,Publicado,No enviado
6265-C-V/00001,1,ADG32 6265 SMORENO SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3758,87","3758,87",BIGCORP SL,Pagada,No enviado
6265-C-V/00002,2,ADG32 6265 SMORENO SL,FV-1/2025/00002,22/10/2025,C-V/00002,"4417,71","8176,58",BIGCORP SL,Pagada,No enviado
6265-C-V/00003,3,ADG32 6265 SMORENO SL,FV-1/2025/00003,22/10/2025,C-V/00003,"3659,04","11835,62",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00004,4,ADG32 6265 SMORENO SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3956,70","15792,32",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00006,5,ADG32 6265 SMORENO SL,FV-1/2025/00005,29/10/2025,C-V/00006,"3568,29","19360,61",BIGCORP SL,Pagada,No enviado
6265-C-V/00007,6,ADG32 6265 SMORENO SL,FV-1/2025/00006,29/10/2025,C-V/00007,"4067,42","23428,03",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00008,7,ADG32 6265 SMORENO SL,FV-1/2025/00007,29/10/2025,C-V/00008,"3956,70","27384,73",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00009,8,ADG32 6265 SMORENO SL,FV-1/2025/00008,05/11/2025,C-V/00009,"4684,52","32069,25",BIGCORP SL,Pagada,No enviado
6265-C-V/00010,9,ADG32 6265 SMORENO SL,FV-1/2025/00009,05/11/2025,C-V/00010,"4352,37","36421,62",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00011,10,ADG32 6265 SMORENO SL,FV-1/2025/00010,05/11/2025,C-V/00011,"4172,69","40594,31",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00012,11,ADG32 6265 SMORENO SL,FV-1/2025/00011,12/11/2025,C-V/00012,"3257,93","43852,24",BIGCORP SL,Pagada,No enviado
6265-C-V/00013,12,ADG32 6265 SMORENO SL,FV-1/2025/00012,12/11/2025,C-V/00013,"3780,65","47632,89",BIGCORP SL,Pagada,No enviado
6265-C-V/00014,13,ADG32 6265 SMORENO SL,FV-1/2025/00013,12/11/2025,C-V/00014,"4432,23","52065,12",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00015,14,ADG32 6265 SMORENO SL,FV-1/2025/00014,19/11/2025,C-V/00015,"4096,46","56161,58",BIGCORP SL,Pagada,No enviado
6265-C-V/00016,15,ADG32 6265 SMORENO SL,FV-1/2025/00015,19/11/2025,C-V/00016,"4267,07","60428,65",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00017,16,ADG32 6265 SMORENO SL,FV-1/2025/00016,19/11/2025,C-V/00017,"4274,33","64702,98",COMERCIAL CALCO SA,Pagada,No enviado
6265-C-V/00018,17,ADG32 6265 SMORENO SL,FV-1/2025/00017,26/11/2025,C-V/00018,"4758,93","69461,91",BIGCORP SL,Publicado,No enviado
"6265-C-V/00019, C-V/00020",18,ADG32 6265 SMORENO SL,FV-1/2025/00018,26/11/2025,"C-V/00019, C-V/00020","7956,96","77418,87",COMERCIAL CALCO SA,Publicado,No enviado
6265-C-V/00021,19,ADG32 6265 SMORENO SL,FV-1/2025/00020,03/12/2025,C-V/00021,"4196,28","81615,15",BIGCORP SL,Publicado,No enviado
"6265-C-V/00023, C-V/00022",20,ADG32 6265 SMORENO SL,FV-1/2025/00019,03/12/2025,"C-V/00023, C-V/00022","8561,36","90176,51",COMERCIAL CALCO SA,Publicado,No enviado
6265-C-V/00024,21,ADG32 6265 SMORENO SL,FV-1/2025/00021,10/12/2025,C-V/00024,"4359,63","94536,14",COMERCIAL CALCO SA,Publicado,No enviado
